Additional Information,Additional information 1,Additional information 2,Area,Building type,City,Creation date,Desc,District,Elevator,Energy certificate,Heating,Location,Market,Pms,Price,Rent,Rooms,Security,Source,Street,Title,Update date,Url,Utilities,Voivodeship,Windows,Year of construction
piwnica,Ogrzewanie:miejskiePiętro:4/4Czynsz:500 złStan wykończenia:do zamieszkaniaRynek:wtórnyForma własności:pełna własnośćDostępne od:brak informacjiTyp ogłoszeniodawcy:biuro nieruchomości Informacje dodatkowe:piwnicaBudynek i materiałyRok budowy:1965Winda:nieRodzaj zabudowy:blokMateriał budynku:wielka płytaOkna:plastikoweBezpieczeństwo:monitoring / ochronaWyposażenieWyposażenie:meble piekarnik lodówka pralka telewizorZabezpieczenia:drzwi / okna antywłamaniowe domofon / wideofonMedia:internet telewizja kablowa,Rok budowy:1965Winda:nieRodzaj zabudowy:blokMateriał budynku:wielka płytaOkna:plastikoweBezpieczeństwo:monitoring / ochronaWyposażenieWyposażenie:meble piekarnik lodówka pralka telewizorZabezpieczenia:drzwi / okna antywłamaniowe domofon / wideofonMedia:internet telewizja kablowa,27,blok,Warszawa,13.09.2024,"- PO REMONCIE- KLIMATYZACJA- METRO 7 MINUT SPACERKIEMNa sprzedaż pięknie wykończone mieszkanie o powierzchni 27m2 na 4 piętrze w bloku z 1965 rokuLokal składa się z przedpokoju, łazienki, pokoju dziennego i wydzielonej kuchni z oknem!Świetny rozkład oddziela nam przestrzeń dzienną od roboczej.Remont klatki schodowej w toku ( na zdjęciach jest klatka obok już po remoncie dla wizualizacji)Mieszkanie znajduje się w dobrze skomunikowanej i cichej części Warszawy, co pozwala na szybki dojazd z każdego miejsca, a dodatkowo zapewni odrobinę relaksu wśród zielonych terenów Bielan.Z mieszkania dotrzesz w niecałe 10 minut pieszo do:- stacji metra Wawrzyszew- Lasu Bielańskiego- CRS Bielany- Szpitala BielańskiegoW pobliżu sklepy, lokale usługowe, Galeria MłocinyDla studenta:- 15 minut pieszo AWF- 10 minut rowerem UKSWNie czekaj! Umów się na bezpłatną prezentację już dziś!Mieszkanie własnościowe z KW - brak przeciwwskazań do zakupu na kredytOferuję bezpieczeństwo transakcji i możliwość skorzystania z ekspertów finansowych",Bielany,nie,,miejskie,"ul. Wrzeciono, Wrzeciono, Bielany, Warszawa, mazowieckie",wtórny,19 815 zł/m²,535 000 zł,500 zł,1,"drzwi,okna antywłamaniowe domofon,wideofon",Otodom,ul. Wrzeciono,Pięknie wykończone | Metro | Klimatyzacja,16.09.2024,https://www.otodom.pl/pl/oferta/pieknie-wykonczone-metro-klimatyzacja-ID4stKZ,internet telewizja kablowa,mazowieckie,plastikowe,1965
balkon piwnica,Ogrzewanie:miejskiePiętro:1/10Czynsz:700 złStan wykończenia:do zamieszkaniaRynek:wtórnyForma własności:pełna własnośćDostępne od:brak informacjiTyp ogłoszeniodawcy:biuro nieruchomości Informacje dodatkowe:balkon piwnicaBudynek i materiałyRok budowy:1964Winda:takRodzaj zabudowy:blokBezpieczeństwo:monitoring / ochronaWyposażenieWyposażenie:meble piekarnik lodówka pralka zmywarkaZabezpieczenia:drzwi / okna antywłamaniowe domofon / wideofonMedia:telefon internet,Rok budowy:1964Winda:takRodzaj zabudowy:blokBezpieczeństwo:monitoring / ochronaWyposażenieWyposażenie:meble piekarnik lodówka pralka zmywarkaZabezpieczenia:drzwi / okna antywłamaniowe domofon / wideofonMedia:telefon internet,41.3,blok,Warszawa,30.08.2024,"- Dużo zieleni w okolicy- Pięknie wykończone gotowe do zamieszkania- Dobrze skomunikowana lokalizacja OTWARTA kuchnia na salon powoduje, że mieszkanie wydaje się większe niż wskazuje na to metraż! W mieszkaniu oddzielna sypialnia oraz pięknie wykończona łazienkaZ dużego pokoju wyjdziemy na balkon z widokiem na zieleńW OKOLICY pełna infrastruktura niezbędna do życiaBiedronka, żabka, AuchanPark ""Forty Korotyńskiego"" 2 min pieszoPKP Rakowiec 8 min pieszoPark Sczęśliwicki 20 min pieszoMieszkanie przeszło remont pod koniec 2023 roku dzięki czemu jest w doskonałym stanie i nie wymaga żadnego wkładu finansowegoStan prawny nieruchomości - pełna własnośćBrak przeciwwskazań do zakupu kredytowegoZ nami kupujesz bez stresu - pomagamy w uzyskaniu kredytu i zapewniamy bezpieczeństwo transakcjiZapraszam do kontaktu w celu umówienia się na prezentacjęOferta na wyłączność dostępna tylko w naszym biurze",Ochota,tak,,miejskie,"ul. Racławicka, Rakowiec, Ochota, Warszawa, mazowieckie",wtórny,18 862 zł/m²,779 000 zł,700 zł,2,"drzwi,okna antywłamaniowe domofon,wideofon",Otodom,ul. Racławicka,Pięknie wykończone | Zielona Ochota | Wum,16.09.2024,https://www.otodom.pl/pl/oferta/pieknie-wykonczone-zielona-ochota-wum-ID4sfGm,telefon internet,mazowieckie,,1964
brak informacji,Ogrzewanie:miejskiePiętro:3/3Czynsz:brak informacjiStan wykończenia:do wykończeniaRynek:wtórnyForma własności:pełna własnośćDostępne od:brak informacjiTyp ogłoszeniodawcy:biuro nieruchomości Informacje dodatkowe:brak informacjiBudynek i materiałyRok budowy:1937Winda:nieRodzaj zabudowy:kamienicaMateriał budynku:cegłaOkna:plastikoweWyposażenieZabezpieczenia:domofon / wideofonMedia:telewizja kablowa internet telefon,Rok budowy:1937Winda:nieRodzaj zabudowy:kamienicaMateriał budynku:cegłaOkna:plastikoweWyposażenieZabezpieczenia:domofon / wideofonMedia:telewizja kablowa internet telefon,92,kamienica,Warszawa,11.09.2024,"Tylko w Infinity Space, oferta na wyłączność!Mam przyjemność zaprezentować Państwu apartament o powierzchni 92 m2, znajdujący się na ostatniej kondygnacji w zadbanej kamienicy w urokliwej części Saskiej Kępy.(English description below)W skrócie: - przedwojenna kamienica po renowacji elewacji z nowymi instalacjami - tylko 11 lokali mieszkalnych,- mieszkanie dwustronne z ekspozycją na północny wschód i południowy zachód, posiada aż 14 okien w tym 7 okien dwuskrzydłowych i 7 świetlików,- cicha, spokojna okolica - wokół niska zabudowa, niedaleko Park Skarszewski,- świetny rozkład dający duże możliwości aranżacyjne,- 92 m2, stan deweloperski.APARTAMENTApartament o powierzchni 92 m2 znajduje się na ostatniej kondygnacji (poddasze) w przedwojennej, zadbanej kamienicy.Przestrzeń idealnie sprawdzi się na mieszkanie trzy lub czteropokojowe, ale istnieje możliwość jego aranżacji na biuro lub pracownię.Jest świetnie doświetlone przez 7 dwuskrzydłowych okien i 6 okien dachowych (świetlików).Z mieszkania rozpościera się piękny widok na koronę drzew i niskie zabudowania. Z okien sypialni widoczny jest również Stadion Narodowy.W lokalu jest bardzo cicho.We wstępnej koncepcji architekt założył, że apartament będzie składał się z następujących pomieszczeń:- przestrzennego salonu z aneksem kuchennym,- dużej łazienki z dwoma świetlikami, z prysznicem oraz wanną,- dwóch lub trzech sypialni,- hallu.Lokal jest sprzedawany w stanie deweloperskim co daje możliwość aranżacji wnętrza wedle własnej inwencji.Wszystko co znajduje się w lokalu jest nowe - włącznie ze stolarką drzwiową i okienną (PCV), grzejnikami (Purmo).Wszystkie instalacje znajdujące się w mieszkaniu są nowe - elektryczna, wod.-kan., ciepła i zimna woda oraz ogrzewanie miejskie.Aktualnie trwają jeszcze prace wykończeniowe - planowane zakończenie prac na początku października.Z uwagi na ogrom możliwości aranżacyjnych Właściciel zdecydował się nie stawiać ścian działowych w mieszkaniu pozostawiając pełną dowolność aranżacji nowym nabywcom.BUDYNEKKameralna kamienica została wzniesiona przed wojną, około 1937 roku.Posiada 11 lokali mieszkalnych. W budynku nie ma mieszkań komunalnych - nie ma udziałów miasta.Kamienica przeszła szereg renowacji na przestrzeni ostatnich lat, m.in. renowacja elewacji, wymiana instalacji C.O. oraz kanalizacji (włącznie z zaworami burzowymi).Bardzo dużym atutem jest to, że budynek został podłączony do miejskiej sieci ciepłowniczej (w przeciwieństwie do budynków w sąsiedztwie) oraz miejskiej ciepłej wody. LOKALIZACJAMieszkanie znajduje się w samym sercu Saskiej Kępy - jednej z najbardziej prestiżowych lokalizacji w Warszawie.Lokalizacja ta gwarantuje:- Doskonałe połączenie z centrum ( samochodem 10 minut, rowerem 15 minut ).- Najlepsze restauracje i najmodniejsze butiki w Warszawie, które rozciągają się wzdłuż ulicy Francuskiej, do której spacerem dojdziemy w kilka minut.- Najpiękniejsze tereny zielone, dla miłośników natury, spacerów i wycieczek rowerowych. Około 300  metrów od mieszkania znajduje się najpiękniejszy park w stolicy - Park Skarszewski.- Doskonałą komunikację - niedaleko budynku znajduje się przystanek autobusowy i tramwajowy.- Dostęp do wszystkich najpotrzebniejszych obiektów, które znajdują się w bardzo bliskim sąsiedztwie: W promieniu kilku metrów szkoła oraz liceum ogólnokształcące, sklepy spożywcze, piekarnie i markety.CENA: 2 392 000 PLN - podlega negocjacji.Zapraszamy do kontaktu!---- ENGLISH DESCRIPTION ----Only in Infinity Space Agency! I am pleased to present to you an apartment of 92 m2, located on the top floor in a well-kept building in a charming part of Saska Kępa.In short:- pre-war tenement house after renovation of the facade with new installations - only 11 residential units,- double-sided apartment with exposure to the north-east and south-west, has as many as 14 windows including 6 double-hung windows and 6 skylights,- quiet, peaceful neighborhood - around low-rise buildings, not far from Skarszewski Park,- great layout giving great arrangement possibilities,- 92 m2, developer condition.APARTMENTApartment with an area of 92 m2 is located on the top floor in a pre-war, well-kept building.The space will be perfect for a three or four-room apartment, but there is a possibility to arrange it for an office or studio.It is well lit by 7 double-hung windows and 7 roof windows (skylights).The apartment has a beautiful view of the surrounding greenery and low-rise buildings. The National Stadium is also visible from the bedroom windows.The apartment is very quiet.In the initial concept, the architect assumed that the apartment would consist of the following rooms:- a spacious living room with a kitchenette,- a large bathroom with two skylights, with a shower and a bathtub,- two or three bedrooms,- hall.The premises is sold in developer condition, which gives you the opportunity to arrange the interior according to your own invention.Everything in the apartment is new - including door and window frames, heaters (Purmo).All installations located in the apartment are new - electrical, plumbing, hot and cold water and heating.Currently, finishing works are still in progress - planned completion in early November.Due to the vast possibilities of arrangement, the owner decided not to put partition walls in the apartment, leaving full freedom of arrangement to the new buyers.BUILDINGThe intimate tenement house was built before the war, around 1937.It has 11 residential units.The tenement has undergone a number of renovations in recent years, including renovation of the facade, replacement of the central heating system and sewage system.A very big advantage is that the building is connected to the municipal heating network (unlike the buildings in the neighborhood).The building is listed in the Municipal Register of Historic Places.LOCATIONThe apartment is located in the heart of Saska Kępa - one of the most prestigious locations in Warsaw.This location guarantees:- Excellent connection with the center ( by car 10 minutes, by bike 15 minutes ).- The best restaurants and most fashionable boutiques in Warsaw, which stretch along Francuska Street, which can be reached in a few minutes by walk.- The most beautiful green areas, for lovers of nature, walking and cycling. About 300 meters from the apartment is the most beautiful park in the capital - Skarszewski Park.- Excellent communication - near the building there is a bus and tram stop.- Access to all the most necessary facilities, which are located in very close proximity: - With an easy reach- the school and high school, grocery stores, bakeries and markets - all in 500 meters.PRICE: 2 392 000 PLN - negotiable.Feel free to contact us!",Praga-Południe,nie,,miejskie,"ul. Saska, Saska Kępa, Praga-Południe, Warszawa, mazowieckie",wtórny,26 000 zł/m²,2 392 000 zł,brak informacji,4,"domofon,wideofon",Otodom,ul. Saska,Apartament w kamienicy | 92 m2 | Stara Saska Kępa,16.09.2024,https://www.otodom.pl/pl/oferta/apartament-w-kamienicy-92-m2-stara-saska-kepa-ID4sqDa,telewizja kablowa internet telefon,mazowieckie,plastikowe,1937
balkon piwnica oddzielna kuchnia,Ogrzewanie:miejskiePiętro:4/4Czynsz:1 000 złStan wykończenia:do zamieszkaniaRynek:wtórnyForma własności:spółdzielcze wł. prawo do lokaluDostępne od:brak informacjiTyp ogłoszeniodawcy:biuro nieruchomości Informacje dodatkowe:balkon piwnica oddzielna kuchniaBudynek i materiałyRok budowy:1983Winda:nieRodzaj zabudowy:blokMateriał budynku:wielka płytaWyposażenieWyposażenie:klimatyzacjaZabezpieczenia:drzwi / okna antywłamaniowe rolety antywłamanioweMedia:telefon internet telewizja kablowa,Rok budowy:1983Winda:nieRodzaj zabudowy:blokMateriał budynku:wielka płytaWyposażenieWyposażenie:klimatyzacjaZabezpieczenia:drzwi / okna antywłamaniowe rolety antywłamanioweMedia:telefon internet telewizja kablowa,57.9,blok,Warszawa,3.09.2024,"Zapraszam do mieszkania na Ursusie idealnego dla rodziny - można kredytować.- Mieszkanie na przestrzał - ekspozycja wschód-zachód- Piwnica 15 m^2!- PKP Ursus Niedźwiadek 5 min pieszo- Dobry dojazd do centrumCechy mieszkania:- 4 przestronne pokoje | salon + 3 sypialnie + oddzielna jasna kuchnia + łazienka- 57,90 m^2- funkcjonalny układ- budynek po termomodernizacji- plac zabaw- wymienione wszystkie instalacje - klatka po remoncie- parking ogólnodostępny - dużo miejsc postojowych- parkiet na podłodze- widok na teren zielony- jasne | cicheLokalizacja:- idealna pod własny użytek lub pod wynajem- 3 min spacerem do przystanku autobusowego- 5 min spacerem do stacji PKP Ursus Niedźwiadek- 2 min do Biedronki i do centrum kultury Miś- w okolicy przedszkola, szkoły podstawowe i dobry dojazd do uczelni- pełna infrastruktura handlowo/usługowa w pobliżu budynkuDo mieszkania przynależy:- duża piwnica stworzona z 3 piwnic - aż 15 m^2Idealnie sprawdzi dla rodziny z dziećmi czy pod wynajem (z uwagi na układ można wynajmować na pokoje).Zapewniam weryfikację formalno-prawną i opiekę eksperta finansowego.Zapraszam na prezentację",Ursus,nie,,miejskie,"ul. Orląt Lwowskich, Niedźwiadek, Ursus, Warszawa, mazowieckie",wtórny,14 680 zł/m²,850 000 zł,1 000 zł,4,"drzwi,okna antywłamaniowe rolety antywłamaniowe",Otodom,ul. Orląt Lwowskich,Do wprowadzenia | 4 pokoje | Klimatyzacja,16.09.2024,https://www.otodom.pl/pl/oferta/do-wprowadzenia-4-pokoje-klimatyzacja-ID4sjkD,telefon internet telewizja kablowa,mazowieckie,,1983
taras garaż/miejsce parkingowe,Ogrzewanie:miejskiePiętro:7/7Czynsz:1 000 złStan wykończenia:do wykończeniaRynek:wtórnyForma własności:pełna własnośćDostępne od:brak informacjiTyp ogłoszeniodawcy:biuro nieruchomości Informacje dodatkowe:taras garaż/miejsce parkingoweBudynek i materiałyRok budowy:2024Winda:takRodzaj zabudowy:apartamentowiecMateriał budynku:cegłaWyposażenieZabezpieczenia:drzwi / okna antywłamaniowe domofon / wideofonMedia:telefon internet telewizja kablowa,Rok budowy:2024Winda:takRodzaj zabudowy:apartamentowiecMateriał budynku:cegłaWyposażenieZabezpieczenia:drzwi / okna antywłamaniowe domofon / wideofonMedia:telefon internet telewizja kablowa,56.22,apartamentowiec,Warszawa,4.09.2024,"Zapraszam na prezentację mieszkania w nowoczesnym apartamentowcu- Taras 88,92 m^2! - Panoramiczny widok i przestrzeń do odpoczynku- Wysokiej jakości Apartamentowiec- Funkcjonalny układ- Miejsce parkingowe - dostosowane pod EVCechy mieszkania:- Powierzchnia mieszkania 56,22 m^2 (użytkowa 55,13 m^2)- Możliwość wydzielenia 2 pokoi i kuchni z częścią jadalną- Dobrze doświetlone - ostatnie piętro- 2,72 m wysokości- Stan deweloperski- Mieszkanie sprawdzone przy odbiorze - wykonane poprawki i pozytywna opinia eksperta o stanie- Gładzie na ścianach- Lokalizacja w większej odległości od ulicyPierwsze 3 zdjęcia przedstawiają wizualizacje przykładowego wykończenia.Lokalizacja:- Idealna pod własny użytek jak i wynajem- Praga- Południe - 4 min pieszo od Promenady- Pełna infrastruktura lokalno-handlowa - Lidl w budynkuDo mieszkania przynależy:- szerokie, wydzielone miejsce parkingowe w parkingu podziemnym z możliwością instalacji ładowarki do samochodów elektrycznych (obok samochodu zmieści się rower/skuter) - dodatkowo 50 000 złZapewniam bezpieczeństwo transakcji i opiekę eksperta finansowego oraz ekipę wykończeniową.Zapraszam na prezentację",Praga-Południe,tak,,miejskie,"ul. Marii Rodziewiczówny, Gocławek, Praga-Południe, Warszawa, mazowieckie",wtórny,17 609 zł/m²,990 000 zł,1 000 zł,2,"drzwi,okna antywłamaniowe domofon,wideofon",Otodom,ul. Marii Rodziewiczówny,Taras 89 m^2 | Miejsce parkingowe Ev | Promenada,16.09.2024,https://www.otodom.pl/pl/oferta/taras-89-m2-miejsce-parkingowe-ev-promenada-ID4skiO,telefon internet telewizja kablowa,mazowieckie,,2024
balkon oddzielna kuchnia,Ogrzewanie:miejskiePiętro:4/7Czynsz:938 złStan wykończenia:do zamieszkaniaRynek:wtórnyForma własności:pełna własnośćDostępne od:brak informacjiTyp ogłoszeniodawcy:biuro nieruchomości Informacje dodatkowe:balkon oddzielna kuchniaBudynek i materiałyRok budowy:1961Winda:takRodzaj zabudowy:blokMateriał budynku:cegłaBezpieczeństwo:teren zamkniętyWyposażenieZabezpieczenia:drzwi / okna antywłamaniowe domofon / wideofonMedia:telefon internet telewizja kablowa,Rok budowy:1961Winda:takRodzaj zabudowy:blokMateriał budynku:cegłaBezpieczeństwo:teren zamkniętyWyposażenieZabezpieczenia:drzwi / okna antywłamaniowe domofon / wideofonMedia:telefon internet telewizja kablowa,47.63,blok,Warszawa,3.09.2024,"Zapraszam na idealną ofertę pod najem krótkoterminowy- Zamknięte osiedle- metro Centrum 8 min pieszo- Winda- Parking dla mieszkańcówCechy mieszkania:- 2 pokoje + oddzielna kuchnia- powierzchnia 47,63 m^2- parkiet na podłodze- duży balkon- budynek po termomodernizacji i remoncie klatki- jasne | ekspozycja wschód  -zachód- budynek z cegły z windą- dostępne od zarazLokalizacja:- idealna pod własny użytek, jak i wynajem- 2 min spacerem do przystanku autobusowego i tramwajowego- 8 min pieszo metro Centrum- pełna infrastruktura handlowo/usługowa w pobliżu budynku
Do mieszkania przynależy:- piwnicaIdealnie sprawdzi się dla singla, pary bądź jako lokata kapitału (topowa lokalizacja pod najem długo lub krótkoterminowy)Zapewniam weryfikację formalno-prawną jak i opiekę eksperta finansowego.Zapraszam na prezentację",Śródmieście,tak,,miejskie,"ul. Hoża, Śródmieście Południowe, Śródmieście, Warszawa, mazowieckie",wtórny,19 945 zł/m²,950 000 zł,938 zł,2,"drzwi,okna antywłamaniowe domofon,wideofon",Otodom,ul. Hoża,Serce Śródmieścia | metro Centrum,16.09.2024,https://www.otodom.pl/pl/oferta/serce-srodmiescia-metro-centrum-ID4sjkG,telefon internet telewizja kablowa,mazowieckie,,1961
balkon piwnica oddzielna kuchnia pom. użytkowe,Ogrzewanie:miejskiePiętro:2/4Czynsz:1 100 złStan wykończenia:do remontuRynek:wtórnyForma własności:spółdzielcze wł. prawo do lokaluDostępne od:brak informacjiTyp ogłoszeniodawcy:biuro nieruchomości Informacje dodatkowe:balkon piwnica oddzielna kuchnia pom. użytkoweBudynek i materiałyRok budowy:1964Winda:takRodzaj zabudowy:kamienicaMateriał budynku:cegłaOkna:plastikoweBezpieczeństwo:monitoring / ochronaWyposażenieWyposażenie:mebleZabezpieczenia:domofon / wideofon,Rok budowy:1964Winda:takRodzaj zabudowy:kamienicaMateriał budynku:cegłaOkna:plastikoweBezpieczeństwo:monitoring / ochronaWyposażenieWyposażenie:mebleZabezpieczenia:domofon / wideofon,58,kamienica,Warszawa,16.09.2024,"Na sprzedaż  3-pokojowe mieszkanie o powierzchni 56,5 m2 + 1,5 m2 dodatkowy korytarz i wysokości 2,5 m zlokalizowane w sercu Sadów Żoliborskich przy ul. Sady Żoliborskie. Znajduję się na 2 piętrze w 4 piętrowym budynku zaprojektowanym wg. projektu p. architekt Haliny Skibniewskiej z cegły po ociepleniu i renowacji elewacji. Budynek jako jedyny posiada windę ;)Mieszkanie posiada nowe okna PCV, parkiet na podłogach.Łazienka 5 lata temu po remoncie.Piwnica przynależna do mieszkania o powierzchni 5 m2.Mieszkanie składa się z:- Salonu (pokoju dziennego 19 m2) z loggia (5,2 m2),- Sypialni (11 m2),- Pokój (10 m2),- Kuchni (5,5 m2),- Łazienki (3 m2),- Toaleta ( 1,5 m2),- Przedpokoju (6,5 m2).Na podłogach w salonie, sypialni oraz przedpokoju wyłożony jest drewniany parkiet. Mieszkanie posiada ekspozycję okien południowo - zachodnią.Komunikacja:- Linia tramwajowa (200 m),- Linia autobusowa (200 m),- Linia metra ( 800 m).Budynek usytuowany w urokliwej i prestiżowej lokalizacji Sadów Żoliborskich :)Stan prawny:Spółdzielcze-własnościowe prawo do lokalu z możliwością założenia Księgi Wieczystej oraz przekształcenia w odrębną własność lokalu.Grunty uregulowane pod budynkiem.Zapraszam do kontaktu telefonicznego oraz na prezentację mieszkania.PolecamAdam Murawski.Doradca ds. Nieruchomości,Westa Hometel.",Żoliborz,tak,,miejskie,"ul. Sady Żoliborskie, Sady Żoliborskie, Żoliborz, Warszawa, mazowieckie",wtórny,17 069 zł/m²,990 000 zł,1 100 zł,3,"domofon,wideofon",Otodom,ul. Sady Żoliborskie,"3 pokoje, loggia, H. Skibniewska. Żoliborz.",16.09.2024,https://www.otodom.pl/pl/oferta/3-pokoje-loggia-h-skibniewska-zoliborz-ID4swUK,,mazowieckie,plastikowe,1964
piwnica,Ogrzewanie:miejskiePiętro:6/12Czynsz:700 złStan wykończenia:do zamieszkaniaRynek:wtórnyForma własności:spółdzielcze wł. prawo do lokaluDostępne od:brak informacjiTyp ogłoszeniodawcy:biuro nieruchomości Informacje dodatkowe:piwnicaBudynek i materiałyRok budowy:1975Winda:takRodzaj zabudowy:blokMateriał budynku:wielka płytaWyposażenieZabezpieczenia:drzwi / okna antywłamaniowe domofon / wideofonMedia:telefon internet telewizja kablowa,Rok budowy:1975Winda:takRodzaj zabudowy:blokMateriał budynku:wielka płytaWyposażenieZabezpieczenia:drzwi / okna antywłamaniowe domofon / wideofonMedia:telefon internet telewizja kablowa,36,blok,Warszawa,30.08.2024,Zapraszam do zamieszkania/zainwestowania w mieszkaniu 400 m od metra- 400 m metro Księcia Janusza- ekspozycja zachodnia i okno od południa w części aneksu- spora loggia 8 m^2- piwnica 5 m^2Cechy mieszkania:- powierzchnia mieszkania 36 m^2 - 2 pokoje - salon z aneksem kuchennym + sypialnia + łazienka- 6/12 piętro - 1975 rok budowy- słoneczne | ciche- meble mogą zostać- wymienione instalacje - 2 generalne remonty z czego ostatni 3 lata temuLokalizacja:- 400 m do metra Ks Janusza- idealne pod własny użytek jak i pod wynajem- w okolicy najróżniejsza infrastruktura - 100 m do Carrefoura i innych sklepów- 5 min pieszo Wola ParkDo mieszkania przynależy:- piwnica 5 m^2Status prawny:- spółdzielcze własnościowe bez kw - grunty nieuregulowaneZapewniam bezpieczeństwo transakcji i opiekę eksperta finansowego/ekipy wykończeniowejZapraszam do kontatku i na prezentację,Wola,tak,,miejskie,"ul. Okocimska, Ulrychów, Wola, Warszawa, mazowieckie",wtórny,17 778 zł/m²,640 000 zł,700 zł,2,"drzwi,okna antywłamaniowe domofon,wideofon",Otodom,ul. Okocimska,Słoneczne| 400m metro Księcia Janusza| Po remoncie,16.09.2024,https://www.otodom.pl/pl/oferta/sloneczne-400m-metro-ksiecia-janusza-po-remoncie-ID4sg0o,telefon internet telewizja kablowa,mazowieckie,,1975
balkon piwnica,Ogrzewanie:miejskiePiętro:2/4Czynsz:850 złStan wykończenia:do remontuRynek:wtórnyForma własności:pełna własnośćDostępne od:brak informacjiTyp ogłoszeniodawcy:biuro nieruchomości Informacje dodatkowe:balkon piwnicaBudynek i materiałyRok budowy:1960Winda:nieRodzaj zabudowy:blokWyposażenieZabezpieczenia:domofon / wideofonMedia:telefon internet telewizja kablowa,Rok budowy:1960Winda:nieRodzaj zabudowy:blokWyposażenieZabezpieczenia:domofon / wideofonMedia:telefon internet telewizja kablowa,46.4,blok,Warszawa,3.09.2024,"Zamieszkaj 500 m od metra Bródno- Funkcjonalny układ- Balkon- Piwnica- Do remontuCechy mieszkania:- 2 pokoje + oddzielna widna kuchnia + łazienka - 46,40 m² powierzchnia- 2/4 piętro niska zabudowa- parking ogólnodostępny- dostępne od zaraz- pełna własność- jasne | cicheLokalizacja:- idealna pod własny użytek jak i pod wynajem- bliskość metra Bródno - 500 m- dobry dojazd na trasę S8- Factory Annopol 12 min spacerem- pełna infrastruktura handlowo- usługowa - Biedronka i inne okoliczne sklepy w pobliżuIdealne dla pary, rodziny czy też pod wynajemGwarantuję bezpieczeństwo transakcji i opiekę eksperta finansowego Zapraszam na prezentację",Targówek,nie,,miejskie,"ul. Skrajna, Bródno, Targówek, Warszawa, mazowieckie",wtórny,15 065 zł/m²,699 000 zł,850 zł,2,"domofon,wideofon",Otodom,ul. Skrajna,Mieszkanie przy metrze Bródno | Od zaraz,16.09.2024,https://www.otodom.pl/pl/oferta/mieszkanie-przy-metrze-brodno-od-zaraz-ID4sjbj,telefon internet telewizja kablowa,mazowieckie,,1960
balkon piwnica oddzielna kuchnia,Ogrzewanie:miejskiePiętro:8/10Czynsz:47840 złStan wykończenia:do remontuRynek:wtórnyForma własności:spółdzielcze wł. prawo do lokaluDostępne od:brak informacjiTyp ogłoszeniodawcy:prywatnyInformacje dodatkowe:balkon piwnica oddzielna kuchniaBudynek i materiałyRok budowy:1986Winda:takRodzaj zabudowy:blokMateriał budynku:wielka płytaOkna:plastikoweWyposażenieZabezpieczenia:drzwi / okna antywłamaniowe domofon / wideofonMedia:telewizja kablowa internet telefon,Rok budowy:1986Winda:takRodzaj zabudowy:blokMateriał budynku:wielka płytaOkna:plastikoweWyposażenieZabezpieczenia:drzwi / okna antywłamaniowe domofon / wideofonMedia:telewizja kablowa internet telefon,33,blok,Warszawa,28.08.2024,"Komfortowa kawalerka o powierzchni 33 m2, zlokalizowana na Tarchominie przy ul. Józsefa Antalla 8. Nieruchomość znajduje się na 8 piętrze w 10-piętrowym budynku. Prężnie działająca Spółdzielnia Mieszkaniowa, w ostatnim czasie zostały wymienione windy w budynku.

Układ funkcjonalny pozwala na wydzielenie dodatkowego pomieszczenia, tj. salonu z aneksem oraz osobnej sypialni. Mieszkanie przeznaczone do remontu. 

Dodatkową powierzchnię do przechowywania stanowi piwnica. 

Spokojna, cicha okolica a blok otoczony piękną zielenią. W pobliżu Galeria Północna (5 min spacerkiem), liczne sklepy, bazarek, restauracje, banki, szkoły, przedszkola, tereny zielone do wypoczynku i rekreacji kluby fitness, Ośrodek Sportu.

Niewielka odległość od Mostu Północnego pozwala na szybki dojazd do Centrum Warszawy, tramwajem dojazd do metra Młociny zajmuje zaledwie 8 min (w godzinach szczytu odjazd co 2 min) dodatkowo liczne linie autobusowe pozwalają dotrzeć do pozostałych dzielnic Warszawy. 

Czynsz ok. 478,40 zł 
Cena 429 000 PLN, zakup wyłącznie za gotówkę - grunty w trakcie regulacji. 
Cena nie podlega już negocjacji

Jako biuro nieruchomości pobieramy wynagrodzenie za naszą pracę

Zapraszam na prezentację
Jestem do Państwa dyspozycji 7 dni w tygodniu od 8.00 do 22.00.

Konrad Słomka 
KS Estate 
_______

Informacje dotyczące nieruchomości zostały sporządzone na podstawie oświadczeń właściciela nieruchomości i nie są ofertą w rozumieniu przepisów prawa, mają charakter wyłącznie informacyjny i mogą podlegać aktualizacji, zalecamy ich osobistą weryfikację.",Białołęka,tak,,miejskie,"ul. Józsefa Antalla, Tarchomin, Białołęka, Warszawa, mazowieckie",wtórny,13 000 zł/m²,429 000 zł,47840 zł,1,"drzwi,okna antywłamaniowe domofon,wideofon",Otodom,ul. Józsefa Antalla,Piękny widok | 2 pokoje | remont,16.09.2024,https://www.otodom.pl/pl/oferta/piekny-widok-2-pokoje-remont-ID4sdJM,telewizja kablowa internet telefon,mazowieckie,plastikowe,1986
